arrival_time_s,msg_size_byte,connection_id,msg_id
0,8190,0,0
0.112446,58920,0,4
0.113187,3624,0,8
0.113201,3127,0,12
0.11321,1400,0,16
0.113343,1285,0,20
0.113359,7900,0,24
0.113375,4066,0,28
0.114128,301385,0,32
0.114141,3312,0,36
0.171797,39040,0,0
0.171827,2851,0,4
0.171847,5935,0,8
0.171872,9274,0,12
0.171886,2828,0,16
0.171901,10578,0,20
0.171916,47684,0,24
0.171932,6779,0,28
0.171946,257,0,32
0.171964,1534,0,36
0.171978,2827,0,40
0.171992,1231,0,44
0.172007,2838,0,48
0.172035,14058,0,52
0.172051,12902,0,56
0.172064,1192,0,60
0.172085,688,0,64
0.172098,1195,0,68
0.172112,36649,0,72
0.172127,20067,0,76
0.17214,53303,0,80
0.172386,5469,0,0
0.172412,24859,0,0
0.172469,14232,0,0
0.173414,6535,0,84
0.173435,23114,0,88
0.173515,200,0,92
0.173565,23033,0,96
0.173643,2362,0,100
0.173732,677,0,104
0.173794,33655,0,108
0.173864,12214,0,112
0.173879,4192,0,116
0.173897,5269,0,120
0.173913,19501,0,124
0.173928,3042,0,128
0.17395,327,0,132
0.173961,30619,0,136
0.173974,8963,0,140
0.173992,7602,0,144
0.174006,8566,0,148
0.174019,6231,0,152
0.174031,3218,0,156
0.174045,33257,0,160
0.174058,6799,0,164
0.174073,6298,0,168
0.180755,4316,0,172
0.180772,199,0,176
0.180784,232,0,180
0.180796,1289,0,184
0.180811,28518,0,188
0.180822,6691,0,192
0.180835,15626,0,196
0.180848,6750,0,200
0.180861,500,0,204
0.180873,202,0,208
0.180899,452,0,212
0.180912,351,0,216
0.180924,3091,0,220
0.180937,15341,0,224
0.180952,14194,0,228
0.180964,2381,0,232
0.180976,13667,0,236
0.180988,15108,0,240
0.181006,6350,0,244
0.181015,382,0,248
0.181028,1065,0,252
0.18768,321,0,256
0.192051,2463,0,40
0.195109,14064,0,44
0.260518,127,0,0
0.277463,5034,0,260
0.27749,205904,0,264
0.277505,31,0,268
0.277518,104,0,272
0.277535,19815,0,276
0.278704,5883,0,280
0.329274,2136,0,284
0.336215,31079,0,0
0.336232,2738,0,4
0.336242,14670,0,8
0.336258,26016,0,12
0.336271,69610,0,16
0.336282,23661,0,20
0.387231,795,0,0
0.485339,7379,0,288
0.485373,3981,0,292
0.485385,38769,0,296
0.485496,4260,0,300
0.485509,5402,0,304
0.48552,8209,0,308
0.485533,4672,0,312
0.485544,7725,0,316
0.485557,16634,0,320
0.485569,7293,0,324
0.485586,4678,0,328
0.485612,18322,0,332
0.485637,12402,0,336
0.485661,3825,0,340
0.485677,4343,0,344
0.485694,12074,0,348
0.485718,4360,0,48
0.485751,43872,0,352
0.485768,5047,0,356
0.485784,18716,0,360
0.4858,4585,0,364
0.485817,18371,0,368
0.485833,6089,0,372
0.485848,5751,0,376
0.485866,31,0,380
0.485883,4890,0,384
0.485901,304,0,388
0.485917,30660,0,392
0.485933,12438,0,396
0.487249,795,0,4
0.487268,795,0,8
0.487283,795,0,12
0.487315,795,0,16
0.487331,795,0,20
0.487344,795,0,24
0.487357,795,0,28
0.487369,795,0,32
0.487384,795,0,36
0.487395,795,0,40
0.487409,795,0,44
0.487423,795,0,48
0.487447,795,0,52
0.487466,795,0,56
0.487491,795,0,60
0.487508,795,0,64
0.487528,795,0,68
0.487549,795,0,72
0.487898,11328,0,400
0.48793,12904,0,404
0.544223,9417,0,0
0.547851,795,0,0
0.547892,795,0,4
0.547938,795,0,8
0.547974,795,0,12
0.548005,795,0,16
0.548035,795,0,20
