arrival_time_s,msg_size_byte,connection_id,msg_id
0.000000,8190,1917595564,0
0.112446,58920,1917595564,4
0.113187,3624,1917595564,8
0.113201,3127,1917595564,12
0.113210,1400,1917595564,16
0.113343,1285,1917595564,20
0.113359,7900,1917595564,24
0.113375,4066,1917595564,28
0.114128,301385,1917595564,32
0.114141,3312,1917595564,36
0.171797,39040,1917658300,0
0.171827,2851,1917658300,4
0.171847,5935,1917658300,8
0.171872,9274,1917658300,12
0.171886,2828,1917658300,16
0.171901,10578,1917658300,20
0.171916,47684,1917658300,24
0.171932,6779,1917658300,28
0.171946,257,1917658300,32
0.171964,1534,1917658300,36
0.171978,2827,1917658300,40
0.171992,1231,1917658300,44
0.172007,2838,1917658300,48
0.172035,14058,1917658300,52
0.172051,12902,1917658300,56
0.172064,1192,1917658300,60
0.172085,688,1917658300,64
0.172098,1195,1917658300,68
0.172112,36649,1917658300,72
0.172127,20067,1917658300,76
0.172140,53303,1917658300,80
0.172386,5469,1917677548,0
0.172412,24859,1917699996,0
0.172469,14232,1917755516,0
0.173414,6535,1917658300,84
0.173435,23114,1917658300,88
0.173515,200,1917658300,92
0.173565,23033,1917658300,96
0.173643,2362,1917658300,100
0.173732,677,1917658300,104
0.173794,33655,1917658300,108
0.173864,12214,1917658300,112
0.173879,4192,1917658300,116
0.173897,5269,1917658300,120
0.173913,19501,1917658300,124
0.173928,3042,1917658300,128
0.173950,327,1917658300,132
0.173961,30619,1917658300,136
0.173974,8963,1917658300,140
0.173992,7602,1917658300,144
0.174006,8566,1917658300,148
0.174019,6231,1917658300,152
0.174031,3218,1917658300,156
0.174045,33257,1917658300,160
0.174058,6799,1917658300,164
0.174073,6298,1917658300,168
0.180755,4316,1917658300,172
0.180772,199,1917658300,176
0.180784,232,1917658300,180
0.180796,1289,1917658300,184
0.180811,28518,1917658300,188
0.180822,6691,1917658300,192
0.180835,15626,1917658300,196
0.180848,6750,1917658300,200
0.180861,500,1917658300,204
0.180873,202,1917658300,208
0.180899,452,1917658300,212
0.180912,351,1917658300,216
0.180924,3091,1917658300,220
0.180937,15341,1917658300,224
0.180952,14194,1917658300,228
0.180964,2381,1917658300,232
0.180976,13667,1917658300,236
0.180988,15108,1917658300,240
0.181006,6350,1917658300,244
0.181015,382,1917658300,248
0.181028,1065,1917658300,252
0.187680,321,1917658300,256
0.192051,2463,1917595564,40
0.195109,14064,1917595564,44
0.260518,127,1918232172,0
0.277463,5034,1917658300,260
0.277490,205904,1917658300,264
0.277505,31,1917658300,268
0.277518,104,1917658300,272
0.277535,19815,1917658300,276
0.278704,5883,1917658300,280
0.329274,2136,1917658300,284
0.336215,31079,1918475132,0
0.336232,2738,1918475132,4
0.336242,14670,1918475132,8
0.336258,26016,1918475132,12
0.336271,69610,1918475132,16
0.336282,23661,1918475132,20
0.387231,795,1918479756,0
0.485339,7379,1917658300,288
0.485373,3981,1917658300,292
0.485385,38769,1917658300,296
0.485496,4260,1917658300,300
0.485509,5402,1917658300,304
0.485520,8209,1917658300,308
0.485533,4672,1917658300,312
0.485544,7725,1917658300,316
0.485557,16634,1917658300,320
0.485569,7293,1917658300,324
0.485586,4678,1917658300,328
0.485612,18322,1917658300,332
0.485637,12402,1917658300,336
0.485661,3825,1917658300,340
0.485677,4343,1917658300,344
0.485694,12074,1917658300,348
0.485718,4360,1917595564,48
0.485751,43872,1917658300,352
0.485768,5047,1917658300,356
0.485784,18716,1917658300,360
0.485800,4585,1917658300,364
0.485817,18371,1917658300,368
0.485833,6089,1917658300,372
0.485848,5751,1917658300,376
0.485866,31,1917658300,380
0.485883,4890,1917658300,384
0.485901,304,1917658300,388
0.485917,30660,1917658300,392
0.485933,12438,1917658300,396
0.487249,795,1918479756,4
0.487268,795,1918479756,8
0.487283,795,1918479756,12
0.487315,795,1918479756,16
0.487331,795,1918479756,20
0.487344,795,1918479756,24
0.487357,795,1918479756,28
0.487369,795,1918479756,32
0.487384,795,1918479756,36
0.487395,795,1918479756,40
0.487409,795,1918479756,44
0.487423,795,1918479756,48
0.487447,795,1918479756,52
0.487466,795,1918479756,56
0.487491,795,1918479756,60
0.487508,795,1918479756,64
0.487528,795,1918479756,68
0.487549,795,1918479756,72
0.487898,11328,1917658300,400
0.487930,12904,1917658300,404
0.544223,9417,1918630460,0
0.547851,795,1918669308,0
0.547892,795,1918669308,4
0.547938,795,1918669308,8
0.547974,795,1918669308,12
0.548005,795,1918669308,16
0.548035,795,1918669308,20
